Title,Price,Category,Brand,Rating,Description
Nike Air Jordan 1 Red And Black,149.99,mens-shoes,Nike,4.77,"The Nike Air Jordan 1 in Red and Black is an iconic basketball sneaker known for its stylish design and high-performance features, making it a favorite among sneaker enthusiasts and athletes."
Nike Baseball Cleats,79.99,mens-shoes,Nike,3.88,Nike Baseball Cleats are designed for maximum traction and performance on the baseball field. They provide stability and support for players during games and practices.
Puma Future Rider Trainers,89.99,mens-shoes,Puma,4.9,"The Puma Future Rider Trainers offer a blend of retro style and modern comfort. Perfect for casual wear, these trainers provide a fashionable and comfortable option for everyday use."
Sports Sneakers Off White & Red,119.99,mens-shoes,Off White,4.77,"The Sports Sneakers in Off White and Red combine style and functionality, making them a fashionable choice for sports enthusiasts. The red and off-white color combination adds a bold and energetic touch."
Sports Sneakers Off White Red,109.99,mens-shoes,Off White,4.69,"Another variant of the Sports Sneakers in Off White Red, featuring a unique design. These sneakers offer style and comfort for casual occasions."
Black & Brown Slipper,19.99,womens-shoes,Comfort Trends,2.53,"The Black & Brown Slipper is a comfortable and stylish choice for casual wear. Featuring a blend of black and brown colors, it adds a touch of sophistication to your relaxation."
Calvin Klein Heel Shoes,79.99,womens-shoes,Calvin Klein,4.92,"Calvin Klein Heel Shoes are elegant and sophisticated, designed for formal occasions. With a classic design and high-quality materials, they complement your stylish ensemble."
Golden Shoes Woman,49.99,womens-shoes,Fashion Diva,3.26,"The Golden Shoes for Women are a glamorous choice for special occasions. Featuring a golden hue and stylish design, they add a touch of luxury to your outfit."
Pampi Shoes,29.99,womens-shoes,Pampi,3.05,"Pampi Shoes offer a blend of comfort and style for everyday use. With a versatile design, they are suitable for various casual occasions, providing a trendy and relaxed look."
Red Shoes,34.99,womens-shoes,Fashion Express,3.25,"The Red Shoes make a bold statement with their vibrant red color. Whether for a party or a casual outing, these shoes add a pop of color and style to your wardrobe."
